standards
card                    standard                                       population
build                   canonical                                      a canonical artifact: its source under standards/build/canonical/ and each governed repo's copy
build                   python                                         a governed repo's root Python project: pyproject.toml, the package under src/, and the Python under scripts/
build                   skeleton                                       a governed repo's tree, except standards/build/canonical/ in dev-playbook
decisions               records                                        a Decision Record: a numbered NNNN-slug.md file under a repo's docs/decisions/, except that directory's index.md and README.md
distribution            channel                                        a governed repo's share of the distribution channel: its hook manifest, its local block, and its pin on the hook repository
harness                 claude-content                                 a CLAUDE.md: a repo's root file, a nested <dir>/CLAUDE.md, or in dev-playbook the global source dotfiles/dot-claude/CLAUDE.md
harness                 runbook-conventions                            a runbook: a skill bundle or an agent definition under a governed repo's .claude/ or dev-playbook's dotfiles/dot-claude/
knowledge-organization  context-content                                a repo's CONTEXT.md
knowledge-organization  cross-references                               a reference from an authored document to a workspace file, directory, or skill, except inside a fenced code block, or from inside a numbered Decision Record
knowledge-organization  document-types                                 a concept document
knowledge-organization  documentation-sets/documentation-sets          a documentation set, the concept documents one index.md owns, except a numbered Decision Record or a type: Reference mirror among them
knowledge-organization  documentation-sets/working-documentation-sets  a working documentation set, the Markdown files one stream of in-process work accumulates
knowledge-organization  indexes                                        an index.md
knowledge-organization  loop-conventions                               a document typed Loop
knowledge-organization  readme-content                                 a README.md
knowledge-organization  type-registry                                  a document-type declaration: dev-playbook's `## Types` table, or a consumer's root-index `okf_types` mapping
modules                 design                                         a module in a governed repo's source: anything with an interface and an implementation
prose                   conventions                                    an authored document, except type: Reference and the paths in .prose-lint-exempt
python                  style                                          a Python file a governed repo tracks: a .py file, or an extensionless file with a Python shebang
shell                   conventions                                    a shell file in a governed repo
standard                cards                                          a repo's card catalog: the standards/<name>/ card directories and the standards/index.md that lists them
standard                detectors                                      a check the verifier table names, first-party at scripts/<name> or a dependency by its address, and the two tables at standards/verifiers.yaml and standards/boundaries.yaml
testing                 conventions                                    a governed repo's Python test suite: the test_*.py files anywhere in its tree, and the conftest.py and fake modules under tests/
tracking                issue-shapes                                   a GitHub issue in a governed repo
tracking                label-scheme                                   a governed repo's GitHub labels
tracking                repo-settings                                  a governed repo's GitHub settings: its merge settings and the rules in force on its default branch

rules
card                    standard                                       rule                                        when
build                   canonical                                      artifactsmk                                 —
build                   canonical                                      ciyml                                       —
build                   canonical                                      gitignore                                   —
build                   canonical                                      makefile                                    —
build                   canonical                                      pre-commit-configyaml                       —
build                   canonical                                      pyprojecttoml                               —
build                   canonical                                      python-version                              —
build                   canonical                                      the-source-directory                        —
build                   python                                         entry-points                                —
build                   python                                         name-mapping                                —
build                   python                                         shebang-and-inline-metadata                 scripts
build                   skeleton                                       dependencies-live-in-pyprojecttoml          —
build                   skeleton                                       lockfile-committed                          javascript
build                   skeleton                                       no-other-future-work-file                   —
build                   skeleton                                       one-package-under-src                       python-package
build                   skeleton                                       required-files                              —
build                   skeleton                                       root-only-files                             —
build                   skeleton                                       runnables-live-in-scripts                   —
build                   skeleton                                       tests-present                               python-source
build                   skeleton                                       uvlock-and-python-version                   python
decisions               records                                        context-decision-and-reason                 —
decisions               records                                        date                                        —
decisions               records                                        immutable-after-merge                       —
decisions               records                                        optional-sections                           —
decisions               records                                        scope                                       —
decisions               records                                        sequential-numbering                        —
decisions               records                                        slug-case                                   —
decisions               records                                        status-vocabulary                           —
decisions               records                                        supersession-target                         —
decisions               records                                        template                                    —
decisions               records                                        the-bar                                     —
decisions               records                                        the-directory                               —
decisions               records                                        what-was-examined                           external-convention-evaluation
distribution            channel                                        a-pinned-rev                                —
distribution            channel                                        a-publisher-dogfoods-its-manifest           —
distribution            channel                                        a-valid-manifest                            —
harness                 claude-content                                 no-frontmatter                              —
harness                 claude-content                                 one-rule-per-heading                        global-file
harness                 claude-content                                 one-scope                                   —
harness                 claude-content                                 operational-scope                           —
harness                 claude-content                                 required-rules                              global-file
harness                 claude-content                                 two-sections                                global-file
harness                 runbook-conventions                            arguments                                   skill
harness                 runbook-conventions                            body-opens-with-an-h1                       —
harness                 runbook-conventions                            bundle-layout                               skill
harness                 runbook-conventions                            carries-its-chain                           —
harness                 runbook-conventions                            description                                 —
harness                 runbook-conventions                            description-states-what-and-when            —
harness                 runbook-conventions                            disallowed-tools-restate-nothing            skill
harness                 runbook-conventions                            front-matter                                —
harness                 runbook-conventions                            interactive-skills-inherit                  skill
harness                 runbook-conventions                            kebab-case-name                             —
harness                 runbook-conventions                            location                                    —
